Rank,Country,Active Cases,Deaths,Recovered Patients,Date
1,United States,1558631,92258,297153,2020-05-20
2,Russia,308705,2972,85392,2020-05-20
3,Brazil,271885,17983,106794,2020-05-20
4,United Kingdom,248818,35341,,2020-05-20
5,Spain,232037,27778,150376,2020-05-20
6,Italy,226699,32169,129401,2020-05-20
7,Germany,177827,8193,155614,2020-05-20
8,Turkey,151615,4199,112895,2020-05-20
9,France,143427,28022,62563,2020-05-20
10,Iran,124603,7119,97173,2020-05-20
11,India,106750,3303,42298,2020-05-20
12,Peru,99483,2914,36524,2020-05-20
13,China,82965,4634,78244,2020-05-20
14,Canada,79112,5912,40050,2020-05-20
15,Saudi Arabia,59854,329,31634,2020-05-20
16,Belgium,55983,9150,14847,2020-05-20
17,Mexico,54346,5666,37325,2020-05-20
18,Chile,49579,509,21507,2020-05-20
19,Pakistan,45898,985,13101,2020-05-20
20,Netherlands,44447,5748,,2020-05-20
21,Qatar,35606,15,5634,2020-05-20
22,Ecuador,34151,2839,3433,2020-05-20
23,Sweden,31523,3831,4971,2020-05-20
24,Belarus,31508,175,10620,2020-05-20
25,Switzerland,30618,1614,27700,2020-05-20
26,Portugal,29432,1247,6431,2020-05-20
27,Singapore,29364,22,10365,2020-05-20
28,Bangladesh,25121,370,4993,2020-05-20
29,United Arab Emirates,25063,227,10791,2020-05-20
30,Ireland,24251,1561,19470,2020-05-20
31,Poland,19569,953,7903,2020-05-20
32,Ukraine,19230,564,5955,2020-05-20
33,Indonesia,18496,1221,4467,2020-05-20
34,South Africa,17200,312,7960,2020-05-20
35,Romania,17191,1126,10166,2020-05-20
36,Colombia,16935,613,4050,2020-05-20
37,Kuwait,16764,121,4681,2020-05-20
38,Israel,16650,277,13299,2020-05-20
39,Japan,16395,773,11884,2020-05-20
40,Austria,16272,632,14678,2020-05-20
41,Egypt,13484,659,3742,2020-05-20
42,Dominican Republic,13223,441,6685,2020-05-20
43,Philippines,13221,842,2932,2020-05-20
44,South Korea,11110,263,10066,2020-05-20
45,Denmark,11044,561,9416,2020-05-20
46,Serbia,10733,234,4904,2020-05-20
47,Panama,9726,279,6085,2020-05-20
48,Argentina,8783,393,2859,2020-05-20
49,Czech Republic,8647,302,5726,2020-05-20
50,Norway,8267,233,7999,2020-05-20
51,Afghanistan,8145,187,930,2020-05-20
52,Bahrain,7532,12,2964,2020-05-20
53,Algeria,7377,561,3746,2020-05-20
54,Australia,7069,100,6411,2020-05-20
55,Morocco,7023,193,3901,2020-05-20
56,Malaysia,7009,114,5706,2020-05-20
57,Kazakhstan,6969,35,3649,2020-05-20
58,Nigeria,6401,192,1734,2020-05-20
59,Finland,6399,301,5000,2020-05-20
60,Moldova,6340,221,2508,2020-05-20
61,Ghana,5918,31,1754,2020-05-20
62,Oman,5671,26,1574,2020-05-20
63,Armenia,5041,64,2164,2020-05-20
64,Bolivia,4481,189,533,2020-05-20
65,Luxembourg,3958,109,3718,2020-05-20
66,Iraq,3611,131,2366,2020-05-20
67,Hungary,3598,470,1454,2020-05-20
68,Cameroon,3529,140,1567,2020-05-20
69,Azerbaijan,3518,41,2198,2020-05-20
70,Thailand,3034,56,2888,2020-05-20
71,Honduras,2955,147,349,2020-05-20
72,Guinea,2863,18,1525,2020-05-20
73,Uzbekistan,2855,13,2338,2020-05-20
74,Greece,2840,166,1374,2020-05-20
75,Puerto Rico,2805,124,850,2020-05-20
76,Sudan,2728,111,286,2020-05-20
77,Senegal,2617,30,1133,2020-05-20
78,Bosnia & Herzegovina,2321,134,1522,2020-05-20
79,Bulgaria,2259,112,646,2020-05-20
80,Croatia,2232,96,1967,2020-05-20
81,Ivory Coast,2153,28,1050,2020-05-20
82,Guatemala,2133,43,155,2020-05-20
83,Tajikistan,1936,41,641,2020-05-20
84,Cuba,1887,79,1538,2020-05-20
85,North Macedonia,1839,106,1351,2020-05-20
86,Iceland,1802,10,1789,2020-05-20
87,Estonia,1791,64,938,2020-05-20
88,DR Congo,1628,61,290,2020-05-20
89,Lithuania,1562,60,1025,2020-05-20
90,Djibouti,1518,7,1033,2020-05-20
91,Gabon,1502,12,318,2020-05-20
92,Somalia,1502,59,178,2020-05-20
93,El Salvador,1498,30,502,2020-05-20
94,Slovakia,1495,28,1192,2020-05-20
95,Slovenia,1467,104,1338,2020-05-20
96,Kyrgyzstan,1243,14,898,2020-05-20
97,New Zealand,1153,21,1447,2020-05-20
98,Maldives,1143,4,91,2020-05-20
99,USS ,1102,1,53,2020-05-20
100,Charles de Gaulle,1081,0,0,2020-05-20
101,Hong Kong,1056,4,1025,2020-05-20
102,Tunisia,1043,46,819,2020-05-20
103,Guinea-Bissau,1038,6,42,2020-05-20
104,Sri Lanka,1023,9,569,2020-05-20
105,Latvia,1012,21,694,2020-05-20
106,Kosovo,989,29,769,2020-05-20
107,Kenya,963,50,358,2020-05-20
108,Lebanon,954,26,251,2020-05-20
109,Albania,949,31,742,2020-05-20
110,Cyprus,918,17,515,2020-05-20
111,Niger,914,55,734,2020-05-20
112,Mali,901,53,529,2020-05-20
113,Costa Rica,882,10,577,2020-05-20
114,Paraguay,829,11,230,2020-05-20
115,Equatorial Guinea,825,7,22,2020-05-20
116,Burkina Faso,796,51,652,2020-05-20
117,Zambia,772,7,192,2020-05-20
118,Andorra,761,51,628,2020-05-20
119,Venezuela,749,10,253,2020-05-20
120,Uruguay,738,20,579,2020-05-20
121,Diamond Princess,712,14,653,2020-05-20
122,Georgia,707,12,456,2020-05-20
123,San Marino,655,41,211,2020-05-20
124,Jordan,649,9,417,2020-05-20
125,Malta,569,6,460,2020-05-20
126,Chad,545,56,139,2020-05-20
127,Sierra Leone,534,33,167,2020-05-20
128,Haiti,533,21,21,2020-05-20
129,Jamaica,520,9,127,2020-05-20
130,Tanzania,509,21,183,2020-05-20
131,Taiwan,440,7,401,2020-05-20
132,Congo,420,15,132,2020-05-20
133,Palestine,391,2,346,2020-05-20
134,Nepal,402,2,37,2020-05-20
135,Central African Republic,366,0,18,2020-05-20
136,Ethiopia,365,5,120,2020-05-20
137,Togo,338,12,107,2020-05-20
138,Isle of Man,335,24,285,2020-05-20
139,Mauritius,332,10,322,2020-05-20
140,Cape Verde,328,2,67,2020-05-20
141,Luhansk PR,328,2,111,2020-05-20
142,Madagascar,326,2,119,2020-05-20
143,Montenegro,324,9,312,2020-05-20
144,Vietnam,324,0,263,2020-05-20
145,Rwanda,308,0,209,2020-05-20
146,Jersey,303,28,285,2020-05-20
147,South Sudan,290,4,4,2020-05-20
148,Uganda,260,0,63,2020-05-20
149,Donetsk PR,256,7,42,2020-05-20
150,Nicaragua,254,17,199,2020-05-20
151,Guernsey,252,13,235,2020-05-20
152,São Tomé & Príncipe,251,8,4,2020-05-20
153,Liberia,233,23,125,2020-05-20
154,Eswatini,208,2,87,2020-05-20
155,Myanmar,193,6,104,2020-05-20
156,Faroe Islands,187,0,187,2020-05-20
157,Yemen,167,28,5,2020-05-20
